basin_id,flow,stage,single_task_stage,single_task_flow
01017000,0.517,0.509,0.5005,0.4057
01017290,0.665,0.656,0.6548,0.6137
01017960,0.617,0.523,0.4895,0.5235
01018009,0.49,0.534,0.4136,0.329
01027200,0.372,0.468,0.5594,0.359
01029500,0.466,0.582,0.6532,0.4915
01030500,0.534,0.604,0.5047,0.5608
01031300,0.624,0.652,0.6122,0.5563
01031450,0.596,0.652,0.5511,0.5164
01031500,0.654,0.721,0.6345,0.5882
01031510,0.677,0.709,0.5516,0.5812
01037380,0.644,0.662,0.5927,0.6545
01044550,0.422,0.517,0.5551,0.291
01046000,0.62,0.733,0.6647,0.5501
01046500,0.197,0.248,0.3196,0.1787
01047150,0.375,0.433,0.509,0.3065
01048220,0.557,0.643,0.569,0.4643
01052500,0.522,0.592,0.4116,0.4344
01054200,0.412,0.314,0.3158,0.5452
01054300,0.658,0.656,0.5379,0.6093
01055000,0.474,0.643,0.6662,0.3092
01059000,0.516,0.518,0.4928,0.4467
01064801,0.396,0.586,0.5092,0.3842
01067950,-0.184,0.437,0.5521,0.1967
01068910,0.424,0.513,0.4423,0.4525
01069500,0.568,0.663,0.5033,0.5407
01069700,0.451,0.107,0.3902,0.4656
01072800,0.475,0.638,0.5465,0.3739
01073000,0.216,0.58,0.566,0.3616
01073319,0.175,0.551,0.5107,-0.0937
01073500,0.389,0.609,0.5256,0.2139
10735562,0.365,0.57,,
01073587,0.39,0.554,0.5029,0.2018
01073785,0.294,0.512,0.4153,0.334
01074520,0.509,0.037,0.243,0.4204
01075000,0.548,0.666,0.6328,0.4836
01076000,0.548,0.59,0.455,0.4915
01076500,0.319,0.418,0.1931,0.3535
01078000,0.486,0.582,0.5584,0.4215
01081000,0.013,0.136,0.076,0.0011
01081500,0.366,0.465,0.4026,0.4112
01082000,0.465,0.555,0.4536,0.3573
01085500,0.434,0.549,0.475,0.3549
01086000,0.358,0.592,0.5409,0.3657
01089100,0.194,0.427,0.4453,0.2226
01089500,0.351,0.487,0.3813,0.1103
01091000,-0.048,0.564,0.5018,0.0239
01092000,0.39,0.524,0.436,0.3644
01093852,0.474,0.621,0.5133,0.4529
01094000,0.517,0.632,0.5215,0.3682
01096000,0.551,0.684,0.5955,0.3872
01096500,0.385,0.483,0.3887,0.3236
10965852,0.315,0.542,,
01097000,0.414,0.569,0.5176,0.3816
01097300,0.489,0.597,0.533,0.4747
01098530,0.361,0.343,0.2392,0.3638
01099500,0.316,0.492,0.3967,0.2468
01100000,0.387,0.515,0.4561,0.3041
01100505,-0.052,0.235,0.2653,-0.0247
01100561,0.07,0.448,0.5253,0.1442
01100600,0.425,0.562,0.4368,0.3692
01101000,0.025,0.332,0.2644,0.1894
01103280,0.493,0.589,,0.438
01108000,0.484,0.534,,0.3852
01108410,0.333,0.487,,0.2707
01109000,0.544,0.639,,0.4232
01109060,0.509,0.635,,0.3942
01109070,0.591,0.553,,0.4996
01109403,0.485,0.615,,0.3842
01109730,0.27,0.53,,0.3204
01110000,0.144,0.337,,0.1877
01111212,0.302,0.413,,0.4101
01111300,0.216,0.504,,0.2874
01111500,0.38,0.535,,0.4136
01115630,0.504,0.523,,0.4748
01117370,0.366,0.29,,0.3621
01117468,0.474,0.486,,0.4153
01117800,0.498,0.61,,0.425
01118300,0.562,0.669,,0.4074
01119500,0.483,0.617,,0.4169
01121000,0.286,0.584,,0.2967
01122000,0.278,0.491,,0.2707
01122500,0.432,0.583,,0.4659
01123000,0.459,0.605,,0.4948
01125100,0.223,0.427,,
01125500,0.339,0.54,,
01127000,0.438,0.58,,
